S0,L,ms,fi,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error
27.245,48.9,0.956,-0.296257,0.976218,0.918861,0.867878,0.81801,0.769256,0.725107,0.685562,0.648267,0.613223,0.582052,1.29486,1.23976,1.18283,1.12777,1.07457,1.02164,0.968989,0.913975,0.856599,0.815385,0.00440375,0.00462025,0.00486075,0.00509625,0.00532675,0.00557225,0.00583275,0.006128,0.006458,0.00683675,0.005464,0.00579975,0.00612325,0.00646125,0.00681375,0.00714725,0.00746175,0.0077575,0.0080345,0.0084655
35.897,65.1,0.74,0.0610288,1.06595,1.03569,1.01082,0.985972,0.96115,0.938122,0.916889,0.893085,0.86671,0.847084,1.43888,1.43397,1.42642,1.41836,1.40978,1.40408,1.40126,1.39241,1.37751,1.3726,0.005095,0.00555675,0.00608625,0.006646,0.007236,0.00789725,0.00862975,0.00940375,0.0102192,0.011215,0.00654975,0.00731875,0.00814825,0.00904825,0.0100187,0.0111425,0.0124195,0.0137602,0.0151647,0.0168945
35.279,74.1,0.724,-0.145502,1.03988,1.00317,0.966935,0.933462,0.902745,0.875233,0.850924,0.825211,0.798094,0.773135,1.38864,1.36599,1.35014,1.32983,1.30505,1.28272,1.26284,1.24116,1.21769,1.19104,0.00494525,0.0053265,0.0057315,0.00616025,0.00661275,0.007123,0.007691,0.00829025,0.00892075,0.00965125,0.00621525,0.0068195,0.0075185,0.0082305,0.0089555,0.0097675,0.0106665,0.0116445,0.0127015,0.0137687
34.249,104.7,0.812,0.236502,1.00992,0.986471,0.968938,0.947205,0.92127,0.904361,0.89648,0.888901,0.881626,0.865472,1.34791,1.34186,1.34544,1.3443,1.33844,1.34108,1.35223,1.35973,1.36359,1.36051,0.00486375,0.0053255,0.0058505,0.006389,0.006941,0.0076275,0.0084485,0.009352,0.010338,0.011343,0.0061635,0.00686925,0.00768175,0.008567,0.009525,0.0106595,0.0119705,0.0134027,0.0149563,0.016648
28.687,113.7,0.836,0.115091,0.920878,0.889583,0.863448,0.841194,0.82282,0.804434,0.786033,0.774133,0.768733,0.763381,1.20575,1.18353,1.16573,1.15151,1.14086,1.13391,1.13065,1.12594,1.11978,1.11189,0.0043875,0.0047315,0.0051185,0.00554925,0.00602375,0.006551,0.007131,0.0078275,0.0086405,0.00957575,0.00541275,0.0059115,0.0064585,0.00709225,0.00781275,0.00863725,0.00956575,0.0106003,0.0117408,0.0129678
27.451,99.3,0.804,0.00154507,0.914276,0.875918,0.842783,0.816738,0.797781,0.777006,0.754411,0.734686,0.717829,0.707771,1.18622,1.15771,1.13308,1.11033,1.08945,1.0728,1.06036,1.04973,1.0409,1.02746,0.00435425,0.00465275,0.00499025,0.005387,0.005843,0.00632175,0.00682325,0.00741375,0.00809325,0.0089165,0.005311,0.00576575,0.00626525,0.0068155,0.0074165,0.008109,0.008893,0.00977275,0.0107482,0.0117717
33.837,36.3,0.868,-0.155116,1.08523,1.04772,1.01114,0.973439,0.934626,0.898473,0.86498,0.836318,0.812487,0.78864,1.46035,1.43915,1.41412,1.38443,1.35009,1.32366,1.30514,1.27754,1.24087,1.20536,0.005002,0.00540075,0.00581625,0.00624925,0.00669975,0.00718975,0.00771925,0.0083275,0.0090145,0.0097485,0.00635,0.0069885,0.0076555,0.00834225,0.00904875,0.00987275,0.0108143,0.0117348,0.0126342,0.013623
32.807,117.3,0.668,0.284885,0.956918,0.923765,0.898741,0.875124,0.852915,0.836588,0.826143,0.819555,0.816822,0.80109,1.26798,1.25158,1.2388,1.22967,1.22417,1.21518,1.2027,1.19702,1.19815,1.20077,0.0047605,0.00513575,0.00557325,0.006068,0.00662,0.00726925,0.00801575,0.00893175,0.0100173,0.0110262,0.00597125,0.00658275,0.00725825,0.00804025,0.00892875,0.0098905,0.0109255,0.0121552,0.0135797,0.0152635
30.541,47.1,0.796,0.209161,1.07176,1.04153,1.0134,0.989586,0.970084,0.950475,0.93076,0.913733,0.899393,0.887817,1.4121,1.40918,1.40882,1.40637,1.40186,1.4003,1.40171,1.40329,1.40504,1.41162,0.00509025,0.00556075,0.00607625,0.00665625,0.00730075,0.00801525,0.00879975,0.00968025,0.0106567,0.0117923,0.00638675,0.007166,0.008042,0.00899025,0.0100108,0.011167,0.012459,0.0139395,0.0156085,0.0176087
32.189,84.9,0.932,-0.124643,0.993986,0.95524,0.921591,0.892283,0.867317,0.840741,0.812555,0.788557,0.768748,0.747127,1.32129,1.29545,1.27404,1.25545,1.23968,1.21572,1.18357,1.15772,1.13817,1.12135,0.004607,0.00494725,0.00531775,0.00573325,0.00619375,0.0066665,0.0071515,0.00772875,0.00839825,0.0090875,0.005757,0.00628625,0.00686875,0.007517,0.008231,0.00893575,0.00963125,0.0104618,0.0114272,0.012489
32.601,34.5,0.948,0.0185829,1.0999,1.06805,1.03378,1.00379,0.978082,0.952788,0.927913,0.903258,0.878826,0.859743,1.46457,1.45453,1.44312,1.43455,1.42882,1.42127,1.41188,1.40324,1.39535,1.38282,0.005061,0.0055175,0.0059865,0.0065155,0.0071045,0.00774175,0.00842725,0.0091735,0.0099805,0.010906,0.00638775,0.0071245,0.0079295,0.0088265,0.0098155,0.0108737,0.0120012,0.013286,0.014728,0.0162632
33.425,106.5,0.892,-0.338778,0.976613,0.931152,0.891531,0.85435,0.819609,0.790848,0.768067,0.742687,0.714706,0.690324,1.29915,1.2639,1.22607,1.18963,1.15458,1.12308,1.09512,1.0657,1.03483,0.999986,0.00435425,0.004589,0.004853,0.0051375,0.0054425,0.00579875,0.00620625,0.006616,0.007028,0.0075035,0.0054265,0.005814,0.00621,0.00662625,0.00706275,0.007552,0.008094,0.008647,0.009211,0.00975975
25.803,45.3,0.82,-0.284247,0.963032,0.907337,0.853868,0.807117,0.767084,0.728123,0.690233,0.655082,0.62267,0.593394,1.26564,1.21527,1.16659,1.11474,1.05971,1.00727,0.957419,0.913101,0.874315,0.838529,0.0044205,0.00463675,0.00486025,0.00511375,0.00539725,0.00567925,0.00595975,0.00627375,0.00662125,0.00701775,0.0054375,0.00578625,0.00615275,0.00650075,0.00683025,0.00716275,0.00749825,0.007904,0.00838,0.0088905
26.833,75.9,0.756,0.347142,1.00142,0.974489,0.94742,0.921542,0.896852,0.876253,0.859743,0.846397,0.836215,0.828217,1.29789,1.28836,1.28025,1.2738,1.26902,1.26565,1.2637,1.27256,1.29223,1.30394,0.00486125,0.0053045,0.0057835,0.00629825,0.00684875,0.00749025,0.00822275,0.0090735,0.0100425,0.0111643,0.00599,0.0066575,0.0073945,0.00822825,0.00915875,0.0102035,0.0113625,0.0127997,0.0145153,0.0163858
