S0,L,ms,fi,b,RE50Y-2.0,RE50Y-1.8,RE50Y-1.6,RE50Y-1.4,RE50Y-1.2,RE50Y-1.0,RE50Y-0.8,RE50Y-0.6,RE50Y-0.4,RE50Y-0.2,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y1.2,RE50Y1.4,RE50Y1.6,RE50Y1.8,RE50Y2.0,RE50Y-2.0_Error,RE50Y-1.8_Error,RE50Y-1.6_Error,RE50Y-1.4_Error,RE50Y-1.2_Error,RE50Y-1.0_Error,RE50Y-0.8_Error,RE50Y-0.6_Error,RE50Y-0.4_Error,RE50Y-0.2_Error,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error,RE50Y1.2_Error,RE50Y1.4_Error,RE50Y1.6_Error,RE50Y1.8_Error,RE50Y2.0_Error
26.8036,87.9429,0.922857,-0.22393,8.15,0.15281,0.186348,0.098593,0.00783132,-0.104222,0.461917,-0.523789,-0.775803,-0.405962,-0.220755,0.0248606,0.244703,0.364316,0.500928,0.630766,0.838505,0.777528,0.806456,0.868146,0.974643,0.992849,0.1625,0.0959095,0.0668071,0.0526345,0.0462282,0.062084,0.0287916,0.0465429,0.0417593,0.0410224,0.0407496,0.042001,0.0424904,0.0398605,0.0263221,0.060397,0.0504523,0.0566001,0.0702228,0.103602,0.16325
34.3079,61.5429,0.631429,0.0796423,9.45,-0.122022,-0.110051,-0.21681,-0.373651,-0.648622,-1.12576,0.00424812,-0.536889,-0.504333,-0.313921,-0.0194803,0.279162,0.490155,0.570421,0.583501,0.609023,0.63625,0.694458,0.752648,0.828698,0.789858,0.07951,0.0553651,0.0451562,0.0424459,0.0369103,0.0535097,0.0533407,0.0387158,0.0389745,0.0399503,0.0392162,0.0384824,0.0388058,0.0401219,0.0443891,0.037059,0.0401935,0.0433211,0.0486872,0.0593373,0.0781206
33.2779,60.2857,0.74,0.526071,9.55,-0.210801,-0.279916,-0.352397,-0.454612,-0.84082,-1.46096,0.468412,-0.49659,-0.52278,-0.303423,0.00224596,0.29364,0.494545,0.549725,0.537258,0.547728,0.621793,0.682447,0.704538,0.739531,0.698398,0.073154,0.0504564,0.0433792,0.039518,0.0369939,0.0580941,0.0599567,0.037621,0.0388157,0.0377989,0.0377534,0.0374212,0.0385171,0.0385674,0.0438397,0.0357106,0.0381891,0.0419623,0.045155,0.0542302,0.0711322
25.7736,101.771,0.625714,0.204642,7.55,0.0168044,0.194173,0.180986,0.0265435,0.0532399,0.363113,-0.602722,-0.629778,-0.413608,-0.252709,0.0131296,0.284349,0.391308,0.538151,0.704242,0.786972,0.771958,0.926502,0.921602,0.930003,0.997558,0.159826,0.103164,0.0679038,0.0562961,0.0466259,0.0530472,0.0337865,0.0423433,0.0451042,0.045446,0.0457747,0.0465698,0.0436729,0.0437741,0.02969,0.0430182,0.0521825,0.0642857,0.0736636,0.100118,0.154416
35.6321,70.3429,0.934286,-0.188214,4.75,-0.152674,-0.0395851,-0.0378641,-0.07678,-0.0854253,-0.236089,-0.533784,-0.221947,0.0286362,-0.0757058,0.0117228,0.110086,0.150521,0.236688,0.334385,0.388172,0.427835,0.45651,0.544787,0.597041,0.637919,0.104083,0.0701532,0.0554076,0.0439576,0.0414504,0.0378063,0.0426951,0.0375908,0.0397467,0.0350689,0.0349127,0.0360625,0.0389417,0.0360266,0.03851,0.0380329,0.0406096,0.0447531,0.0564752,0.0700061,0.09741
25.9207,109.314,0.722857,-0.420356,7.75,0.53107,0.607963,0.562412,0.465724,0.581747,3.02794,-0.642926,-1.37941,-0.508689,-0.271616,0.0575794,0.284216,0.438297,0.654685,0.794498,1.39667,0.950242,1.1369,1.23409,1.3191,1.22821,0.220643,0.147323,0.0957455,0.0698326,0.0563954,0.148545,0.0306449,0.0442482,0.0465944,0.0463189,0.0481793,0.0493876,0.0455773,0.0369026,0.0283258,0.0847225,0.0567605,0.0773262,0.108701,0.154915,0.256113
29.1579,40.1714,0.86,0.0617856,5.95,-0.113588,-0.0747803,-0.0582281,-0.113208,-0.19157,-0.480964,-0.510491,-0.068745,-0.122292,-0.151823,0.0123169,0.150671,0.273626,0.289072,0.358023,0.449172,0.454011,0.470943,0.557302,0.564167,0.606436,0.10169,0.0653321,0.0536746,0.044147,0.0406438,0.0384007,0.0419936,0.0407324,0.0385043,0.0359396,0.0360361,0.0366368,0.0401124,0.0382017,0.0369596,0.0404656,0.040747,0.0441585,0.0540211,0.066046,0.098273
33.5721,85.4286,0.957143,0.168927,8.65,-0.0785691,-0.138593,-0.215468,-0.250659,-0.431066,-1.92626,-0.339871,0.147055,-0.510573,-0.251689,-0.0119515,0.245374,0.433843,0.538929,0.520831,0.466995,0.620647,0.668213,0.747971,0.699668,0.730622,0.0922872,0.0587415,0.0477691,0.0409977,0.0389905,0.070279,0.0355031,0.0449264,0.0387009,0.0385177,0.0366757,0.0384112,0.0393428,0.0469134,0.029721,0.0373618,0.0402234,0.0439354,0.0499963,0.0633197,0.0843311
27.3921,65.3143,0.854286,0.490356,8.05,-0.156619,-0.130921,-0.134226,-0.24329,-0.425444,-1.44792,-0.311055,0.163775,-0.435408,-0.244643,0.0112315,0.197619,0.397323,0.420678,0.493766,0.467288,0.5955,0.594717,0.661395,0.691855,0.673878,0.0908633,0.0609799,0.0493334,0.0449108,0.0405151,0.0593619,0.0347822,0.0460613,0.0386964,0.0379732,0.0376654,0.0384784,0.040454,0.0466556,0.0315534,0.03864,0.0418945,0.045065,0.0528784,0.0652083,0.0926345
33.425,108.057,0.905714,-0.5275,7.25,0.0682227,0.121334,0.120094,0.00704553,-0.0459079,0.134918,-0.312394,-0.520862,-0.428339,-0.203244,-0.00485558,0.210022,0.320637,0.451997,0.579121,0.726114,0.784939,0.914862,0.938631,0.99,1.09509,0.133316,0.0910017,0.0633333,0.0538665,0.0447884,0.0446509,0.0401176,0.0388553,0.039217,0.0387457,0.0364155,0.0369168,0.0385207,0.0356684,0.0379984,0.0476766,0.0482401,0.0580839,0.070197,0.101241,0.159916
